Birth Country,Birth Date,Cohort year,Community Serv Hours,Contact1 Email Address,Contact2 Email Address,Current Date,Current Entry Code,Current Entry Date,Current Time,Date Entered DCPS,Date Entered US School,Entry Code,Ethnicity,Ethnicity Code,Excused Absent Days,Excused Early Total,First Name,Gender,Grade,Home Address,Home Bldg/Apt,Home City,Home State,Home Zip Code,Homeroom,Hurricane Code,Last Name,Lunch Code,Magnet Strand,Magnet Type,Mailing Address,Mailing Bldg/Apt,Mailing City,Mailing State,Mailing Zip Code,Middle Initial,Middle Name,Military Family,Outdoor Suspension Days,Parent/Guardian,Parent/Guardian Phone,Phone Number,PK Program Code,School Location,School Name,School Region,Status,Status Code,Student Age,Student Florida ID,Student Full Name,Student ID,Student Language,Tardy Total,Transfer Code Current,Transfer Code Future,Truancy EFF Date,Truancy Flag,Unexcused Absent Days
USA,1/5/2001,1516,0,MELANY.ROCCA@email.com,MELANY.ROCCA2@email.com,4/13/2017,E01,8/22/2016,11:55:00,8/8/2005,8/14/2006,E01,Asian,A,1,4,MELANY,M,12,7837 ESTERO BLVD   ,,MIAMI,FL,331760000,DEL, ,ROCCA,F,B,S,2210 N TAMIAMI TRL   ,,Boca Raton,FL,33379,,, ,0,KERMIT PROVENZANO,(551) 225-9826,(615) 291-8849,M,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,16,20876194,"MELANY, ROCCA",7018033,EN,2,G,G,          ,N,0
USA,1/5/2001,1617,0,NGA.DASHER@email.com,NGA.DASHER2@email.com,4/13/2017,E01,8/22/2016,11:55:00,8/8/2005,8/14/2006,E01,Hispanic,H,8,15,NGA,F,9,7798 ESTERO BLVD   ,,MIAMI,FL,331900000,VER, ,DASHER,F,Q,Q,25965 PEBBLECREEK DR   ,,Bonita Springs,FL,32316,,, ,0,MARGE FILIPPONE,(520) 345-5659,(479) 209-4914,F,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,16,76147021,"NGA, DASHER",9515111,EN,3,G,G,          ,N,2
USA,1/5/2002,1617,0,BRYANT.BORDNER@email.com,BRYANT.BORDNER2@email.com,4/13/2017,E01,8/22/2016,11:55:00,2/11/2005,11/9/2004,E01,Hispanic,H,3,9,BRYANT,F,10,160 CURLEW ST   ,,MIAMI,FL,331550000,BUN, ,BORDNER,,S,S,241 LIMETREE PARK DR   ,,Boynton Beach,FL,32009,,, ,0,MIN RICE,(478) 954-4007,(301) 505-2319,E,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,15,97845990,"BRYANT, BORDNER",6362547,EN,10,G,G,          ,N,1
USA,1/6/1999,1314,101,OLIN.LEMASTER@email.com,OLIN.LEMASTER2@email.com,4/13/2017,E01,8/22/2016,11:55:00,8/16/2004,8/16/2004,E01,Hispanic,H,6,3,OLIN,M,11,2011 RIVER REACH DR   ,,MIAMI,FL,331554154,LUN, ,LEMASTER,,Q,Q,3411 MORNING LAKE DR,,Bradenton,FL,32102,,, ,0,ISREAL LANCASTER,(213) 392-6641,(610) 265-3124, ,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,18,68913652,"OLIN, LEMASTER",2167171,SP,1,G, ,          ,N,0
USA,1/6/2000,1415,400,LATISHA.GLUCK@email.com,LATISHA.GLUCK2@email.com,4/13/2017,E01,8/22/2016,11:55:00,9/1/2005,8/8/2005,E01,Hispanic,H,1,0,LATISHA,F,9,4777 ORANGE GROVE BLVD   ,,MIAMI,FL,331930000,DED, ,GLUCK,F,Q,Q,10065 ILLINOIS ST   ,,Brooksville,FL,32921,,, ,0,MARCELO CLASEN,(661) 230-4262,(386) 864-8556, ,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,17,73649224,"LATISHA, GLUCK",6469468,SP,6,G,G,          ,N,0
USA,1/6/2002,1617,0,ILDA.BUSICK@email.com,ILDA.BUSICK2@email.com,4/13/2017,E01,8/22/2016,11:55:00,8/20/2007,8/20/2007,E01,Hispanic,H,2,2,ILDA,F,12,93 HELMOND TER   ,,MIAMI,FL,331870000,CAN, ,BUSICK,,S,S,10329 WISHING STONE CT   ,,Cape Canaveral,FL,31161,,, ,0,LOUISE LLEWELLYN,(201) 383-5810,(517) 708-5409, ,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,15,30070311,"ILDA, BUSICK",4569985,EN,9,G,G,          ,N,0
USA,1/7/1999,1314,105,LASHONDA.VILLALVAZO@email.com,LASHONDA.VILLALVAZO2@email.com,4/13/2017,E01,8/22/2016,11:55:00,11/4/2003,8/16/2004,E01,Hispanic,H,6,0,LASHONDA,M,10,9500 E TSALA APOPKA DR   ,,MIAMI,FL,331740000,DAB, ,VILLALVAZO,,B,S,20252 CASTLEMAINE AVE   ,,Cape Coral,FL,32803,,, ,0,TENNILLE BARBA,(806) 353-2904,(303) 465-6343,Z,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,18,23826596,"LASHONDA, VILLALVAZO",7795894,SP,2,G, ,          ,N,1
USA,1/7/1999,1314,340,SHELDON.MASTON@email.com,SHELDON.MASTON2@email.com,4/13/2017,E01,8/22/2016,11:55:00,8/25/2003,8/16/2004,E01,Black,B,0,4,SHELDON,F,9,224 WETHERBY ST   ,,MIAMI,FL,331766529,HEV, ,MASTON,,S,S,9230 AEGEAN CIR   ,,Casselberry,FL,32919,,, ,0,JARED FOXWORTH,(606) 502-8872,(520) 444-5996,M,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,18,93761831,"SHELDON, MASTON",5283540,EN,0,G, ,          ,N,2
USA,1/7/2000,1415,0,ROLANDO.MEREDITH@email.com,ROLANDO.MEREDITH2@email.com,4/13/2017,E01,8/22/2016,11:55:00,8/8/2005,8/8/2005,E01,Hispanic,H,3,0,ROLANDO,M,10,1544 GRADUATION LN    ,,MIAMI,FL,331760000,PAN, ,MEREDITH,,B,S,11271 MAHOGANY RUN   ,,Celebration,FL,35088,,, ,0,BRITTANEY DIEDE,(323) 779-3594,(319) 363-5605, ,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,17,75178565,"ROLANDO, MEREDITH",3329728,EN,0,G,G,          ,N,0
USA,1/7/2000,1415,122,TIFFANIE.SCHIER@email.com,TIFFANIE.SCHIER2@email.com,4/13/2017,E01,8/22/2016,11:55:00,8/8/2005,8/8/2005,E01,Hispanic,H,0,7,TIFFANIE,F,12,1544 GRADUATION LN   ,,MIAMI,FL,331860000,SAJ, ,SCHIER,,S,S,1515 HOUGH ST   ,,Chipley,FL,33958,,, ,0,JESSIE INGWERSEN,(731) 326-8823,(623) 209-2475, ,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,17,53474412,"TIFFANIE, SCHIER",1401130,SP,1,G,G,          ,N,0
USA,1/7/2000,1415,418,CINDY.DAMATO@email.com,CINDY.DAMATO2@email.com,4/13/2017,E01,8/22/2016,11:55:00,8/16/2004,8/8/2005,E01,Hispanic,H,0,7,CINDY,F,12,6346 YELLOWTOP DR   ,,MIAMI,FL,331750000,ALS, ,DAMATO,,Q,Q,7837 ESTERO BLVD   ,,Cinco Bayou,FL,31847,,, ,0,SHAE BIBLE,(281) 440-4529,(773) 996-2832,X,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,17,42749311,"CINDY, DAMATO",3506111,SP,1,G,G,          ,N,0
USA,1/7/2001,1516,0,ELIZABET.KEENA@email.com,ELIZABET.KEENA2@email.com,4/13/2017,E01,8/22/2016,11:55:00,8/8/2005,8/14/2006,E01,Hispanic,H,9,3,ELIZABET,M,9,2441 SE 23RD ST   ,,MIAMI,FL,331730000,LAN, ,KEENA,F,Q,Q,7798 ESTERO BLVD   ,,Clearwater,FL,33756,,, ,0,BELKIS BANASZAK,(561) 637-6532,(501) 390-5273,X,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,16,56631443,"ELIZABET, KEENA",9752339,SP,7,G,G,          ,N,2
USA,1/7/2002,1617,0,CHAUNCEY.RABALAIS@email.com,CHAUNCEY.RABALAIS2@email.com,4/13/2017,E01,8/22/2016,11:55:00,8/20/2008,8/20/2008,E01,White,W,0,1,CHAUNCEY,F,10,1485 CURLEW AVE   ,,MIAMI,FL,331570000,CAN, ,RABALAIS,,S,S,160 CURLEW ST   ,,Clewiston,FL,34412,,, ,0,EMILEE MOYE,(318) 514-7885,(314) 747-6964, ,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,15,49966903,"CHAUNCEY, RABALAIS",9222289,EN,0,G,G,          ,N,0
USA,1/8/1999,1314,150,ULRIKE.BLAYLOCK@email.com,ULRIKE.BLAYLOCK2@email.com,4/13/2017,E01,8/22/2016,11:55:00,8/16/2004,8/16/2004,E01,Hispanic,H,0,5,ULRIKE,F,12,2011 RIVER REACH DR   ,,MIAMI,FL,331770000,DKS, ,BLAYLOCK,D,B,S,1060 BORGHESE LN   ,,Cocoa,FL,32829,,, ,0,THERESSA CAISON,(337) 494-5182,(323) 558-4736, ,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,18,45761907,"ULRIKE, BLAYLOCK",4575873,EN,11,G, ,          ,N,3
USA,1/8/1999,1314,332,TORIE.ELWELL@email.com,TORIE.ELWELL2@email.com,4/13/2017,E01,8/22/2016,11:55:00,8/25/2003,8/16/2004,E01,Hispanic,H,0,15,TORIE,F,10,4777 ORANGE GROVE BLVD   ,,MIAMI,FL,331860000,DAB, ,ELWELL,,E,S,127 NE 18TH PL   ,,Cocoa Beach,FL,32672,,, ,0,SARAI RAWLING,(303) 706-4283,(507) 293-9576,X,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,18,43140715,"TORIE, ELWELL",1850132,EN,0,G, ,          ,N,0
USA,1/8/2000,1415,0,MATHEW.KOVAL@email.com,MATHEW.KOVAL2@email.com,4/13/2017,E01,8/22/2016,11:55:00,3/3/2009,          ,E01,Hispanic,H,3,1,MATHEW,M,9,93 HELMOND TER   ,,MIAMI,FL,331780000,MOL, ,KOVAL,,S,S,1107 SE 23RD PL   ,,Coconut Creek,FL,35371,,, ,0,ANNIS LIPARI,(631) 877-8740,(567) 801-7340, ,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,17,69628185,"MATHEW, KOVAL",2326516,SP,2,G,G,          ,N,1
USA,1/8/2002,1617,0,MAGDA.CANTERO@email.com,MAGDA.CANTERO2@email.com,4/13/2017,E03,8/22/2016,11:55:00,8/22/2016,8/22/2016,E03,Hispanic,H,3,0,MAGDA,M,10,328 SERENA CT   ,,MIAMI,FL,331430000,BUN, ,CANTERO,,Q,Q,1323 NE 9TH PL   ,,Coral Gables,FL,32677,,, ,0,JOAQUINA ESTRADA,(343) 800-4978,(641) 632-7241, ,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,15,98991565,"MAGDA, CANTERO",6736638,EN,0,G,G,          ,N,0
USA,1/9/2001,1516,125,CARMINE.SCHIRMER@email.com,CARMINE.SCHIRMER2@email.com,4/13/2017,E01,8/22/2016,11:55:00,8/14/2006,8/14/2006,E01,Hispanic,H,5,1,CARMINE,F,11,2210 N TAMIAMI TRL   ,,MIAMI,FL,331730000,CAS, ,SCHIRMER,F,S,S,2406 MORADO ST   ,,Coral Springs,FL,33098,,, ,0,JENNETTE RUPPERT,(385) 225-8866,(503) 830-1229, ,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,16,94794120,"CARMINE, SCHIRMER",2835266,EN,0,G,G,          ,N,2
USA,1/9/2002,1617,0,LIZABETH.BAILY@email.com,LIZABETH.BAILY2@email.com,4/13/2017,E01,8/22/2016,11:55:00,8/20/2007,8/20/2007,E01,White,W,1,0,LIZABETH,M,12,25965 PEBBLECREEK DR   ,,MIAMI,FL,331760000,RIC, ,BAILY,,S,S,1740 PINE VALLEY DR   ,,Crystal River,FL,34457,,, ,0,JACQULYN BRICKNER,(616) 840-4882,(650) 559-3863, ,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,15,68653280,"LIZABETH, BAILY",4630469,EN,0,G,G,          ,N,4
USA,1/9/2002,1617,0,GONZALO.MACDONALD@email.com,GONZALO.MACDONALD2@email.com,4/13/2017,E01,8/22/2016,11:55:00,4/27/2005,8/20/2007,E01,White,W,2,4,GONZALO,M,9,241 LIMETREE PARK DR   ,,MIAMI,FL,331550000,ABR, ,MACDONALD,F,S,S,587 SIOUX TRL   ,,Dania Beach,FL,34105,,, ,0,IDELL TONKIN,(442) 226-6687,(314) 972-3003,F,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,15,68595856,"GONZALO, MACDONALD",8241573,EN,2,G,G,          ,N,1
USA,1/10/2000,1415,0,DAMION.SPOFFORD@email.com,DAMION.SPOFFORD2@email.com,4/13/2017,E01,8/22/2016,11:55:00,4/13/2005,8/8/2005,E01,Hispanic,H,0,3,DAMION,F,10,3411 MORNING LAKE DR,,MIAMI,FL,331770000,ROR, ,SPOFFORD,F,B,S,706 CHIPPEWA TRL   ,,Davie,FL,34386,,, ,0,CANDIE KIMPEL,(619) 495-5516,(260) 802-8887,C,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,17,45098575,"DAMION, SPOFFORD",3947538,SP,8,G,G,          ,N,3
USA,1/10/2000,1415,130,HASSAN.YARDLEY@email.com,HASSAN.YARDLEY2@email.com,4/13/2017,E01,8/22/2016,11:55:00,8/8/2005,8/8/2005,E01,Hispanic,H,0,0,HASSAN,M,11,10065 ILLINOIS ST   ,,MIAMI,FL,331760000,DED, ,YARDLEY,,S,S,2900 GULF SHORE BLVD N   ,,Daytona Beach,FL,31136,,, ,0,SHANTELLE GREEAR,(262) 335-7857,(586) 986-4305, ,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,17,86186201,"HASSAN, YARDLEY",4565664,EN,1,G,G,          ,N,0
USA,1/10/2001,1516,0,DANELLE.WASMUND@email.com,DANELLE.WASMUND2@email.com,4/13/2017,E01,8/22/2016,11:55:00,6/6/2013,8/20/2006,E01,Hispanic,H,2,2,DANELLE,F,12,10329 WISHING STONE CT   ,,MIAMI,FL,331930000,DEL, ,WASMUND,F,B,S,3300 GULF SHORE BLVD N   ,,Deerfield Beach,FL,31696,,,N,0,FALLON JESKE,(586) 451-9128,(425) 898-4022, ,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,16,83249203,"DANELLE, WASMUND",7765531,EN,11,G,G,          ,N,1
USA,1/10/2001,1516,0,FABIAN.GROESBECK@email.com,FABIAN.GROESBECK2@email.com,4/13/2017,E01,8/22/2016,11:55:00,8/14/2006,8/14/2006,E01,White,W,1,12,FABIAN,M,10,20252 CASTLEMAINE AVE   ,,MIAMI,FL,331700000,LOP, ,GROESBECK,F,B,S,481 QUAIL FRST BLVD   ,,DeFuniak Springs,FL,34932,,, ,0,VINA MACLEOD,(540) 557-1138,(737) 346-7806, ,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,16,18079461,"FABIAN, GROESBECK",3743475,EN,5,G,G,          ,N,9
USA,1/10/2001,1516,0,MARTINA.SHIELD@email.com,MARTINA.SHIELD2@email.com,4/13/2017,E01,8/22/2016,11:55:00,8/14/2006,8/14/2006,E01,White,W,6,1,MARTINA,F,12,9230 AEGEAN CIR   ,,MIAMI,FL,330330000,LAN, ,SHIELD,,S,S,4041 GULF SHORE BLVD N    ,,DeLand,FL,34349,,,N,0,BUDDY LOEHR,(281) 899-5997,(657) 845-7525, ,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,16,15810124,"MARTINA, SHIELD",5223821,EN,4,G,G,          ,N,0
USA,1/10/2001,1516,0,POLLY.TWEDT@email.com,POLLY.TWEDT2@email.com,4/13/2017,E01,8/22/2016,11:55:00,8/20/2007,8/20/2007,E01,Black,B,0,3,POLLY,M,9,11271 MAHOGANY RUN   ,,MIAMI,FL,331870000,ZEA, ,TWEDT,,B,S,109 GREENFIELD CT   ,,Delray Beach,FL,34876,,, ,0,CAMILLA HOWES,(684) 688-4420,(732) 866-8148, ,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,16,93382215,"POLLY, TWEDT",1570542,EN,4,G,G,          ,N,0
USA,1/10/2002,1617,0,GENOVEVA.MCGUIRK@email.com,GENOVEVA.MCGUIRK2@email.com,4/13/2017,E01,8/22/2016,11:55:00,8/23/2010,8/23/2010,E01,Hispanic,H,6,5,GENOVEVA,F,11,1515 HOUGH ST   ,,MIAMI,FL,331830000,ARM, ,MCGUIRK,R,B,S,60 SEAGATE DR    ,,Deltona,FL,34566,,, ,0,KLARA ALDERETE,(773) 768-5861,(747) 999-5217, ,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,15,97059283,"GENOVEVA, MCGUIRK",3222569,EN,4,G,G,          ,N,1
USA,1/10/2002,1617,0,SANG.MORTON@email.com,SANG.MORTON2@email.com,4/13/2017,E01,8/22/2016,11:55:00,10/1/2009,10/1/2009,E01,Hispanic,H,18,15,SANG,M,10,7837 ESTERO BLVD   ,,MIAMI,FL,331560000,RIO, ,MORTON,F,B,S,2353 MAYFIELD CT   ,,Destin,FL,32693,,, ,0,NONA ELLARD,(847) 426-3065,(316) 771-2727, ,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,15,35262380,"SANG, MORTON",5378595,EN,10,G,G,          ,N,2
USA,1/10/2002,1617,0,EURA.HIRT@email.com,EURA.HIRT2@email.com,4/13/2017,E01,8/22/2016,11:55:00,8/20/2007,8/20/2007,E01,Hispanic,H,0,0,EURA,F,9,7798 ESTERO BLVD   ,,MIAMI,FL,331770000,MAA, ,HIRT,F,B,S,4021 GULF SHORE BLVD N,,Dunedin,FL,33441,,, ,0,ROBBY BARBOZA,(325) 245-3923,(248) 733-6115, ,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,15,18970794,"EURA, HIRT",9864355,EN,15,G,G,          ,N,0
USA,1/10/2002,1617,0,LARUE.FOWLER@email.com,LARUE.FOWLER2@email.com,4/13/2017,E01,8/22/2016,11:55:00,8/14/2006,8/20/2007,E01,Hispanic,H,0,1,LARUE,M,10,160 CURLEW ST   ,,MIAMI,FL,331770000,RIC, ,FOWLER,,B,S,11271 MAHOGANY RUN   ,,Eagle Lake,FL,33607,,, ,0,GAY SEXSON,(575) 736-5654,(516) 439-7349,M,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,15,75443793,"LARUE, FOWLER",2586764,EN,0,G,G,          ,N,0
USA,1/11/2000,1415,0,CAMI.RITZ@email.com,CAMI.RITZ2@email.com,4/13/2017,E01,8/22/2016,11:55:00,8/8/2005,8/8/2005,E01,Hispanic,H,1,5,CAMI,F,9,1060 BORGHESE LN   ,,MIAMI,FL,331860000,ANG, ,RITZ,R,B,S,1515 HOUGH ST   ,,Edgewater,FL,32776,,, ,0,GLORY FINNEN,(574) 259-5613,(470) 206-3511, ,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,17,83493634,"CAMI, RITZ",8184575,EN,1,G,G,          ,N,3
USA,1/11/2000,1415,170,GUY.CATER@email.com,GUY.CATER2@email.com,4/13/2017,E01,8/22/2016,11:55:00,8/18/2014,4/8/2014,E01,Hispanic,H,5,2,GUY,M,12,127 NE 18TH PL   ,,MIAMI,FL,331750000,SAJ, ,CATER,,B,S,7837 ESTERO BLVD   ,,Edgewood,FL,35312,,, ,0,MOZELLA FULLILOVE,(385) 399-1317,(407) 692-4124, ,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,17,86122332,"GUY, CATER",4582910,EN,0,G,G,          ,N,0
